,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3948,4355-CVPVS,1,0,1,1,56,1,0,3,0,0,0,0,1,1,2,0,3,88.9,4968,0
36,6047-YHPVI,0,0,0,0,5,1,0,3,0,0,0,0,0,0,1,1,1,69.7,316.9,1
4306,2931-SVLTV,0,0,1,1,40,1,1,3,1,1,0,1,1,1,1,1,4,110.1,4469.1,0
5877,6777-TGHTM,1,0,0,0,53,1,1,3,1,0,1,0,1,1,2,1,4,106.95,5785.5,1
2345,7874-ECPQJ,1,0,0,1,4,1,0,0,-1,-1,-1,-1,-1,-1,1,1,3,20.05,85.5,0
3462,3834-XUIFC,0,0,0,0,7,1,1,3,0,0,0,0,0,1,1,1,2,85.2,602.55,1
6736,7558-IMLMT,0,0,1,1,67,1,0,0,-1,-1,-1,-1,-1,-1,3,1,2,20.8,1411.9,0
2450,7602-MVRMB,1,0,1,1,72,1,1,3,1,0,1,1,1,1,3,1,3,110.45,8058.85,0
5000,5600-PDUJF,0,0,0,0,6,1,0,1,0,0,0,1,0,0,1,1,4,49.5,312.7,0
5374,8065-YKXKD,1,0,0,0,10,1,1,3,0,0,0,0,0,0,1,1,1,74.75,799.65,1
769,3137-NYQQI,0,0,1,0,17,1,0,1,1,1,0,0,0,1,2,0,2,64.8,1175.6,0
4536,3428-XZMAZ,0,0,0,0,1,1,0,3,0,0,0,0,0,0,1,1,1,69.35,69.35,1
4203,4291-YZODP,1,0,0,1,7,1,0,0,-1,-1,-1,-1,-1,-1,2,0,2,20.05,96.8,0
5391,8124-NZVGJ,1,0,0,0,6,0,-1,1,0,0,0,1,1,1,2,1,2,49.25,255.6,0
382,8204-YJCLA,0,1,1,1,72,0,-1,1,1,1,1,1,1,1,3,1,3,64.8,4732.35,0
619,4059-IIEBK,1,0,0,0,7,1,1,3,0,1,0,0,0,0,1,1,3,78.55,522.95,0
3775,1866-RZZQS,0,1,0,0,41,1,1,3,0,0,1,0,1,1,1,1,1,98.4,4187.75,1
2199,8532-UEFWH,0,0,1,1,52,1,1,0,-1,-1,-1,-1,-1,-1,3,0,2,25.75,1345.85,0
3240,8849-GYOKR,1,0,1,0,54,1,1,3,1,1,0,0,1,1,2,0,3,106.55,5763.3,1
4111,7184-LRUUR,1,0,0,0,22,1,0,1,0,1,1,0,1,0,2,0,3,65.25,1441.8,0
4535,9647-ERGBE,1,0,1,1,30,1,1,3,0,0,1,0,1,1,1,1,1,100.05,3046.15,1
5600,3799-ISUZQ,0,0,1,1,7,1,0,3,0,0,0,0,0,0,1,1,3,69.95,529.5,1
5359,5143-EGQFK,1,1,0,0,10,0,-1,1,0,0,0,1,0,0,1,1,1,29.65,291.4,1
6426,3926-YZVVX,1,0,0,0,41,1,0,1,0,0,0,1,0,0,2,0,3,50.05,2029.05,0
1572,7675-OZCZG,1,1,0,0,3,1,0,1,0,0,0,0,0,0,1,0,1,45.0,127.1,1
6397,7994-XIRTR,0,1,0,0,54,1,0,1,0,0,1,1,0,1,2,0,3,65.25,3529.95,0
1305,4945-RVMTE,1,0,0,0,28,1,0,1,0,0,1,0,1,0,1,1,3,59.55,1646.45,0
5475,1114-CENIM,0,0,0,1,54,1,1,1,0,1,0,0,0,0,1,1,4,55.0,3092.65,1
1908,8232-UTFOZ,0,0,0,0,69,1,0,0,-1,-1,-1,-1,-1,-1,3,0,4,19.95,1399.35,0
5348,9495-REDIY,0,0,0,1,25,0,-1,1,1,0,0,0,1,0,2,1,4,40.65,970.55,0
5579,2225-ZRGSG,1,0,1,1,70,1,1,3,1,1,1,1,0,0,3,0,3,93.9,6579.05,1
5277,0345-HKJVM,1,0,0,0,6,1,0,3,0,0,0,0,1,1,1,0,1,89.3,577.6,1
5554,8838-GPHZP,1,0,0,0,63,1,0,0,-1,-1,-1,-1,-1,-1,3,1,2,20.6,1298.7,0
1083,9878-TNQGW,0,0,0,0,2,1,0,3,0,0,0,0,0,1,1,1,1,80.95,171.15,1
2834,4518-FZBSX,0,0,1,1,42,1,0,0,-1,-1,-1,-1,-1,-1,2,0,2,20.25,854.9,0
1197,8944-AILEF,0,0,1,0,15,1,0,0,-1,-1,-1,-1,-1,-1,1,1,4,19.45,340.85,0
4472,9541-ZPSEA,0,0,1,1,68,1,0,3,1,0,1,0,0,0,3,0,4,80.35,5375.15,0
2069,6356-ELRKD,1,0,0,0,1,1,0,3,1,0,0,0,1,1,1,1,1,95.6,95.6,1
3591,0133-BMFZO,1,0,0,0,2,1,0,3,1,1,0,1,0,0,1,1,1,86.25,181.65,1
5074,2821-WARNZ,1,0,0,1,49,1,0,0,-1,-1,-1,-1,-1,-1,2,0,4,19.45,921.3,0
479,6227-HWPWX,1,0,0,1,15,1,0,3,0,0,0,0,0,0,1,0,3,69.0,994.8,1
4451,1608-GMEWB,0,1,0,0,45,1,1,3,0,0,0,0,1,1,1,1,3,93.9,4200.25,0
2243,1013-QCWAM,1,1,1,0,66,1,1,3,0,1,0,0,1,1,1,1,1,100.8,6690.75,0
2509,1926-QUZNN,1,0,1,0,72,1,1,0,-1,-1,-1,-1,-1,-1,3,1,3,25.25,1841.2,0
3353,4536-PLEQY,0,0,1,0,12,1,0,3,0,1,0,0,0,1,1,1,4,85.05,999.8,0
4377,8212-CRQXP,1,0,1,0,22,1,0,3,0,0,0,0,1,0,1,1,4,80.0,1706.45,0
1826,6908-VVYHM,0,0,1,0,65,1,1,3,0,1,0,0,0,1,1,1,1,90.65,5931,0
6295,7033-CLAMM,1,0,1,1,48,1,0,0,-1,-1,-1,-1,-1,-1,3,0,3,20.2,1027.25,0
4728,6119-SPUDB,0,0,0,0,46,0,-1,1,1,0,1,1,0,0,3,0,2,38.25,1755.35,0
2164,5453-YBTWV,0,0,1,1,70,1,0,3,1,1,1,1,1,0,3,1,4,101.1,6994.8,0
585,5192-EBGOV,1,1,0,0,1,1,1,3,0,0,0,0,1,0,1,1,1,85.7,85.7,1
5580,8859-YSTWS,0,0,0,0,48,1,0,0,-1,-1,-1,-1,-1,-1,2,0,3,19.95,1004.5,0
5862,9584-EXCDZ,1,0,0,0,17,1,0,3,0,0,0,0,0,0,1,0,3,70.5,1165.6,0
2991,2207-QPJED,1,1,1,0,37,1,0,3,0,0,1,1,1,0,1,0,1,90.0,3371.75,0
570,7293-LSCDV,1,0,1,1,60,1,0,0,-1,-1,-1,-1,-1,-1,3,1,4,19.25,1103.25,0
451,5760-WRAHC,1,1,0,0,22,1,0,1,1,0,1,1,0,1,1,1,2,69.75,1545.4,0
2521,5373-SFODM,0,1,1,0,36,1,1,3,0,0,0,0,0,1,1,1,4,85.25,3132.75,1
6918,8267-ZNYVZ,1,0,1,0,33,1,0,3,1,0,1,1,1,1,2,1,1,103.75,3361.05,1
2786,6584-VQMYT,0,0,0,1,27,1,0,1,1,1,0,0,0,0,2,0,2,56.2,1567.55,0
1986,7710-JSYOA,1,0,1,1,69,1,1,3,0,1,0,1,0,1,3,1,3,93.3,6398.05,0
5385,0843-WTBXE,0,0,0,0,53,1,1,3,0,0,0,0,1,0,1,0,3,85.45,4517.25,1
2577,4910-GMJOT,1,0,0,0,1,1,1,3,0,0,0,0,1,1,1,1,1,94.6,94.6,1
7040,4801-JZAZL,1,0,1,1,11,0,-1,1,1,0,0,0,0,0,1,1,1,29.6,346.45,0
304,2240-HSJQD,0,0,0,1,38,1,1,3,0,1,0,0,0,0,1,1,2,81.85,3141.7,0
2741,1724-BQUHA,0,1,0,0,5,1,0,3,0,0,0,0,1,1,1,1,1,89.5,477.7,1
5462,9289-LBQVU,0,0,1,0,64,1,1,1,0,1,0,1,0,1,2,1,2,70.15,4480.7,0
3688,5312-UXESG,1,0,0,0,41,1,1,3,0,0,1,0,1,1,1,0,3,98.05,3990.6,0
995,3842-IYKUE,1,0,0,0,35,1,1,3,0,1,0,1,0,0,1,0,4,85.3,2917.5,1
1196,0455-ENTCR,0,0,1,0,66,1,1,1,1,1,0,1,1,1,3,0,1,85.25,5538.35,0
985,9369-XFEHK,1,1,1,0,33,1,1,3,0,1,0,0,0,0,1,1,3,80.6,2656.5,1
2234,4500-HKANN,0,0,1,1,23,1,1,1,0,1,0,1,0,0,3,0,2,59.7,1414.2,0
935,6630-UJZMY,1,1,1,0,4,1,1,3,0,0,0,0,1,0,1,1,1,83.25,308.05,0
5719,1089-XZWHH,1,0,1,1,24,1,0,0,-1,-1,-1,-1,-1,-1,3,1,2,19.7,494.05,0
7027,0550-DCXLH,0,0,0,0,13,1,0,1,0,1,0,1,1,1,1,0,2,73.35,931.55,0
2279,5334-AFQJB,0,1,0,0,72,1,1,0,-1,-1,-1,-1,-1,-1,3,1,4,25.1,1789.9,0
1457,6362-QHAFM,0,0,1,0,42,1,1,3,0,0,1,1,1,1,2,1,1,108.3,4586.15,0
2552,3547-LQRIK,1,0,1,0,47,1,1,0,-1,-1,-1,-1,-1,-1,2,0,1,26.9,1250.85,0
6780,3640-JQGJG,0,0,1,1,13,1,0,1,0,0,0,0,0,0,1,0,3,44.8,559.2,0
6695,6253-GNHWH,1,0,1,1,71,1,1,1,1,1,1,1,0,0,3,0,2,71.1,5224.95,0
142,1095-WGNGG,1,0,1,0,61,1,1,3,0,1,0,0,1,1,3,1,3,101.05,5971.25,0
4020,4334-HOWRP,0,1,1,0,72,0,-1,1,1,1,1,1,1,1,3,1,4,64.95,4546,0
1926,6651-AZVTJ,0,0,1,1,49,1,1,3,0,0,1,0,1,1,1,1,1,99.8,4872.45,1
2081,5934-TSSAU,1,0,1,1,23,1,0,3,0,0,1,0,0,0,1,1,4,75.3,1702.9,0
481,0447-BEMNG,1,0,1,0,48,0,-1,1,1,0,1,0,0,1,1,1,3,45.3,2145,1
5097,8547-NSBBO,0,0,0,0,35,1,1,3,1,1,1,1,0,0,1,1,2,96.75,3403.4,0
54,4667-QONEA,1,1,1,1,60,1,0,1,1,1,1,1,0,1,2,1,4,74.85,4456.35,0
5595,2308-STERM,1,0,0,0,2,1,0,0,-1,-1,-1,-1,-1,-1,1,0,2,19.4,61.05,0
3551,7594-RQHXR,1,0,0,1,1,1,0,3,0,0,0,0,0,1,1,1,1,79.6,79.6,1
967,7764-BDPEE,0,0,0,1,3,1,0,0,-1,-1,-1,-1,-1,-1,1,0,2,20.85,60.65,0
1689,0274-JKUJR,0,0,1,1,7,0,-1,1,1,1,1,0,1,1,1,0,2,58.85,465.7,0
6851,8465-SBRXP,0,0,1,1,38,1,1,3,0,0,1,1,1,0,3,1,3,94.9,3616.25,0
3022,1796-JANOW,1,0,0,0,2,1,0,0,-1,-1,-1,-1,-1,-1,1,0,2,19.95,38.15,0
3040,7317-GGVPB,0,0,1,0,71,1,1,3,0,1,1,1,1,1,3,1,4,108.6,7690.9,1
3018,4176-RELJR,0,1,0,0,67,1,1,0,-1,-1,-1,-1,-1,-1,3,0,4,25.1,1672.15,0
1190,6807-SIWJI,0,0,0,0,38,1,1,3,1,1,0,0,1,1,2,1,1,104.85,3887.25,0
6441,5084-OOVCJ,1,0,1,1,17,1,0,1,1,0,0,1,0,0,1,1,4,55.35,920.5,0
5572,4654-ULTTN,0,0,1,0,70,1,1,1,1,0,1,1,0,1,3,1,4,74.8,5315.8,0
4991,1502-XFCVR,1,0,0,0,58,1,0,3,1,1,1,0,1,1,2,1,1,106.45,6145.85,1
1920,4623-ZKHLY,0,0,1,0,22,1,0,0,-1,-1,-1,-1,-1,-1,1,1,3,20.45,471.55,0
1815,1927-QEWMY,1,0,1,0,72,1,0,0,-1,-1,-1,-1,-1,-1,3,0,4,20.5,1502.25,0
3465,2831-EBWRN,0,0,0,0,4,1,0,1,0,0,0,0,0,0,1,1,1,45.9,199.75,0
5382,6229-UOLQL,0,0,1,1,56,0,-1,1,1,1,0,1,1,0,2,1,2,52.0,2884.9,0
6587,7426-GSWPO,0,1,0,0,64,1,1,3,1,1,0,0,1,1,1,1,3,103.5,6548.65,0
6359,7148-XZPHA,0,0,1,1,55,1,0,3,0,1,0,1,0,0,1,0,1,79.4,4238.45,0
3447,9762-YAQAA,0,0,0,0,39,1,1,3,0,1,0,0,0,0,2,0,4,81.4,3213.75,0
2791,1023-BQXZE,0,0,0,0,57,1,0,1,1,0,1,0,1,1,3,1,3,74.35,4317.35,0
2600,2262-SLNVK,1,0,0,0,1,1,0,3,0,0,0,0,0,0,1,0,1,70.1,70.1,0
531,1403-GYAFU,0,0,1,1,70,1,0,0,-1,-1,-1,-1,-1,-1,3,0,4,20.05,1360.25,0
3091,8189-DUKMV,1,0,1,0,4,1,0,0,-1,-1,-1,-1,-1,-1,2,0,3,20.5,79.05,0
571,7025-WCBNE,0,1,0,0,47,1,1,1,0,1,0,1,0,0,3,0,3,59.6,2754,0
6274,4685-ERGHK,0,0,0,0,57,1,1,3,0,0,0,0,1,0,2,1,1,86.9,4939.25,0
5899,9943-VSZUV,0,1,0,0,67,1,1,3,0,0,0,0,0,0,1,1,2,75.7,5060.85,0
46,5948-UJZLF,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,0,2,49.25,97,0
4175,6248-BSHKG,0,0,1,1,61,1,0,0,-1,-1,-1,-1,-1,-1,2,0,2,20.4,1226.45,0
3287,5828-AVIPD,0,0,1,1,19,1,1,3,0,0,0,1,1,1,2,1,1,100.95,1875.55,1
2021,0181-RITDD,0,0,1,1,62,1,0,3,1,1,1,1,1,1,3,0,2,108.15,6825.65,0
4420,1544-JJMYL,0,0,0,0,27,1,0,1,1,0,1,1,1,0,2,0,4,69.35,1927.3,0
2287,5440-FLBQG,0,1,1,0,69,1,1,3,0,1,1,1,1,1,3,1,3,108.4,7318.2,1
5551,8457-XIGKN,0,0,0,0,20,1,0,0,-1,-1,-1,-1,-1,-1,1,1,4,19.6,356.15,0
1737,8887-IPQNC,1,0,1,0,7,1,0,1,0,0,0,0,0,0,1,1,2,44.25,313.45,0
1722,9060-HJJRW,1,0,0,0,51,0,-1,1,0,1,1,0,1,1,2,1,4,56.4,2928.5,0
6877,4501-EQDRN,1,0,0,0,1,1,0,3,0,0,0,0,0,0,1,0,3,69.7,69.7,1
1110,0343-QLUZP,0,0,0,0,60,0,-1,1,1,1,1,0,0,0,3,0,3,39.6,2424.5,0
4319,6333-YDVLT,0,0,0,0,65,1,1,3,1,0,1,1,1,1,2,1,4,110.0,7138.65,0
6174,8650-RHRKE,0,0,0,0,4,0,-1,1,0,0,1,0,0,0,1,1,1,29.65,118.5,1
1217,0784-GTUUK,0,0,1,0,62,1,1,0,-1,-1,-1,-1,-1,-1,2,1,4,23.75,1446.8,0
5806,7854-EKTJL,1,0,0,1,2,1,0,0,-1,-1,-1,-1,-1,-1,1,1,1,19.6,35.85,1
6380,2378-VTKDH,0,1,1,0,65,1,1,3,0,1,1,0,1,1,1,1,1,104.35,6578.55,0
2440,2171-UDMFD,0,0,1,1,32,1,0,0,-1,-1,-1,-1,-1,-1,1,1,4,19.45,674.55,0
1058,2074-GKOWZ,0,0,1,1,2,1,0,3,0,0,0,0,1,1,1,1,3,89.55,185.55,1
5326,5688-KZTSN,0,0,1,1,15,1,0,0,-1,-1,-1,-1,-1,-1,1,1,1,20.0,288.05,1
6990,0376-OIWME,0,0,1,0,36,1,0,3,1,0,0,0,1,1,1,1,1,93.6,3366.05,0
2767,3572-UOLYZ,1,0,0,1,46,1,1,3,0,0,1,1,0,0,1,1,3,84.8,3958.85,0
4323,3707-LRWZD,1,0,0,0,32,1,1,3,0,0,0,0,1,0,2,0,1,84.05,2781.85,1
6190,2867-UIMSS,0,0,0,0,1,1,0,3,0,0,0,0,0,1,1,0,1,80.5,80.5,1
3620,9373-WSLOY,0,1,1,0,33,0,-1,1,0,1,1,1,1,0,1,1,1,50.0,1750.85,0
254,3675-YDUPJ,0,0,0,0,10,1,0,0,-1,-1,-1,-1,-1,-1,1,1,2,19.85,193.05,0
4733,1319-YLZJG,0,0,1,0,12,1,0,3,1,1,1,0,0,0,1,1,1,84.6,959.9,0
2793,3904-UKFRE,0,0,0,0,4,1,1,3,1,0,0,0,0,0,1,1,1,80.1,336.15,0
213,4709-LKHYG,1,0,1,1,29,1,0,0,-1,-1,-1,-1,-1,-1,2,0,1,20.0,540.05,0
6628,9979-RGMZT,1,0,0,0,7,1,0,3,0,1,0,0,1,1,2,1,2,94.05,633.45,0
6120,6218-KNUBD,0,0,0,0,6,1,0,1,0,1,0,0,1,0,1,0,1,59.45,357.6,0
1166,7129-ACFOG,1,0,0,0,5,1,1,1,1,0,0,0,0,0,1,1,1,53.8,283.95,0
6229,6631-HMANX,0,0,1,0,72,1,1,1,0,1,1,1,1,1,3,1,4,85.45,6227.5,0
5604,9432-VOFYX,0,0,0,0,17,1,0,3,0,0,0,0,0,0,1,1,1,70.8,1207,0
1857,9359-JANWS,1,0,1,0,65,1,0,1,1,0,1,1,0,0,3,0,4,58.9,3857.1,0
1308,3372-KWFBM,0,1,0,0,16,1,1,3,0,0,0,0,1,0,1,1,1,86.6,1281,1
2140,3023-GFLBR,1,0,1,1,33,1,1,3,0,0,0,0,0,1,1,0,4,86.15,2745.7,1
6035,9835-ZIITK,0,1,1,0,66,1,1,3,0,1,1,1,1,1,2,1,1,110.85,7491.75,1
1337,6265-FRMTQ,0,0,0,0,31,1,0,0,-1,-1,-1,-1,-1,-1,3,0,3,20.4,609.1,0
2170,8220-OCUFY,1,0,0,0,21,1,0,1,1,0,1,1,0,0,2,1,1,60.25,1258.35,0
2378,2884-GBPFB,1,0,1,0,35,1,0,3,0,0,0,0,0,0,1,1,1,70.3,2416.55,1
6743,2740-JFBOK,0,0,0,0,10,1,1,0,-1,-1,-1,-1,-1,-1,1,1,1,24.0,226.55,0
971,5002-GCQFH,0,0,1,0,49,1,1,3,1,1,0,0,1,0,1,1,3,93.85,4733.1,0
3482,2828-SLQPF,0,0,0,0,19,1,0,1,0,0,0,0,0,0,1,1,3,45.0,865.85,0
1517,2924-KHUVI,0,0,1,0,56,1,1,3,1,0,0,0,1,1,2,1,1,100.55,5514.95,0
3107,5038-ETMLM,1,0,1,0,72,1,1,3,1,1,1,1,1,1,3,1,3,113.65,8182.75,0
4786,6749-UTDVX,0,0,0,0,72,1,1,3,0,1,1,0,1,1,3,1,1,103.65,7634.8,0
100,6380-ARCEH,0,0,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,1,0,2,20.2,20.2,0
1387,7684-XSZIY,0,0,1,1,72,1,1,0,-1,-1,-1,-1,-1,-1,3,0,3,24.3,1643.25,0
3421,6719-FGEDO,1,0,1,0,72,1,1,3,1,1,1,1,0,0,3,1,3,97.0,7104.2,0
6456,9174-IHETN,1,0,0,1,50,1,0,3,0,0,0,0,0,0,3,0,4,70.35,3533.6,0
5484,4419-UJMUS,0,0,1,1,69,1,1,3,0,0,0,1,1,1,3,1,1,99.35,6856.45,0
5576,4929-BSTRX,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,2,53.55,53.55,1
1518,1925-GMVBW,1,0,0,0,5,1,0,0,-1,-1,-1,-1,-1,-1,1,0,4,20.55,96.1,0
6251,9374-YOLBJ,1,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,1,0,1,19.25,19.25,0
5839,2077-MPJQO,0,1,1,0,7,1,1,3,0,0,0,0,0,0,1,1,1,75.4,533.05,0
165,6345-FZOQH,0,0,1,0,69,1,0,0,-1,-1,-1,-1,-1,-1,3,0,2,19.9,1363.45,0
2347,7089-RKVSZ,0,0,1,1,8,1,1,0,-1,-1,-1,-1,-1,-1,2,0,2,24.4,203.95,0
2882,6652-YFFJO,1,0,0,0,11,1,0,1,0,0,0,0,1,1,1,1,1,64.9,716.1,0
3811,3620-MWJNE,0,0,0,0,2,1,0,1,1,0,0,1,0,0,1,1,2,54.45,87.3,0
4705,5760-FXFVO,0,0,0,0,6,1,0,3,1,1,0,0,0,0,1,1,1,78.95,494.95,0
5910,0856-NAOES,0,0,0,0,6,1,0,1,0,0,1,0,1,0,1,0,2,60.9,414.1,0
6387,9853-JFZDU,1,0,1,0,35,1,0,1,0,1,0,1,0,0,1,0,1,56.85,1861.1,0
4757,1582-RAFML,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,2,60.1,60.1,1
1721,4116-TZAQJ,1,0,0,0,9,1,0,3,1,0,0,0,0,0,1,1,4,74.25,639.65,1
2091,8957-THMOA,1,0,0,1,50,1,0,0,-1,-1,-1,-1,-1,-1,3,0,4,20.15,970.85,0
4388,3525-DVKFN,1,0,0,0,17,1,0,0,-1,-1,-1,-1,-1,-1,3,0,2,19.4,358.05,0
1408,5678-VFNEQ,1,0,1,0,71,1,1,3,1,0,1,0,1,1,2,1,4,104.1,7412.25,0
280,0314-TKOSI,1,0,0,0,6,1,0,1,1,1,0,0,0,0,1,0,2,55.15,322.9,0
6328,4701-LKOZD,1,0,0,0,70,1,1,1,1,1,1,1,1,1,3,0,4,89.75,6367.2,0
1297,6198-ZFIOJ,1,0,0,0,5,1,1,3,0,0,0,0,0,0,1,0,1,75.6,402.5,0
1261,4741-WWJQZ,1,0,1,0,2,1,0,3,1,0,0,1,0,0,1,1,1,80.15,194.55,0
1544,3794-NFNCH,0,0,1,0,30,1,0,1,0,0,1,0,0,0,1,1,2,50.0,1474.9,0
2961,6898-MDLZW,0,0,0,0,12,1,0,1,0,1,0,1,0,0,1,1,2,53.75,648.65,0
444,1910-FMXJM,1,0,1,0,36,1,0,3,0,0,0,0,0,1,1,0,1,80.4,2937.65,0
5388,5515-IDEJJ,0,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,1,0,2,19.9,19.9,1
5764,0716-BQNDX,0,1,0,0,57,1,1,3,1,0,0,1,0,1,3,0,1,93.75,5625.55,0
4691,3791-LGQCY,1,1,1,0,56,1,1,3,0,0,1,0,1,1,1,1,3,100.65,5688.05,1
1019,9391-TTOYH,1,0,0,0,23,1,0,0,-1,-1,-1,-1,-1,-1,1,1,2,19.5,470.2,0
1364,1084-MNSMJ,1,0,1,1,51,1,0,1,1,1,1,1,1,1,3,0,4,85.5,4421.95,0
3094,1898-JSNDC,1,0,0,0,39,1,0,1,0,1,0,0,1,0,2,1,4,58.6,2224.5,0
5654,1576-PFZIW,0,1,1,0,70,1,0,3,1,1,1,0,1,1,3,0,4,105.35,7511.9,0
6699,3662-FXJFO,1,0,0,0,54,1,0,0,-1,-1,-1,-1,-1,-1,3,1,2,20.5,1035.7,0
1334,1768-ZAIFU,1,1,0,0,1,0,-1,1,0,0,0,0,0,0,1,1,1,25.2,25.2,1
5543,6646-JPPHA,1,1,0,0,14,1,0,3,1,1,0,0,0,0,1,0,1,78.85,1043.8,0
5015,0708-SJDIS,1,0,0,0,34,1,1,1,0,0,0,1,1,0,1,0,2,65.0,2157.5,0
5801,8695-ARGXZ,0,1,1,0,34,1,1,3,0,0,0,0,0,0,1,1,1,75.55,2425.4,0
3081,6376-GAHQE,0,0,0,0,4,1,0,3,0,0,0,0,1,0,1,0,1,77.85,299.2,1
4918,6582-PLFUU,0,0,1,1,51,1,0,0,-1,-1,-1,-1,-1,-1,3,0,4,19.55,1086.75,0
1677,3283-WCWXT,0,0,1,1,6,1,1,0,-1,-1,-1,-1,-1,-1,3,0,2,25.4,153.3,0
447,0732-OCQOC,1,0,1,1,52,1,1,0,-1,-1,-1,-1,-1,-1,3,1,3,25.05,1270.25,0
3169,4578-PHJYZ,0,0,1,1,52,1,0,1,0,1,1,1,1,0,2,1,1,68.75,3482.85,0
1512,9314-IJWSQ,1,0,1,1,14,1,1,3,0,0,0,0,1,0,1,1,1,84.8,1203.9,0
4037,0603-TPMIB,1,0,1,1,59,1,1,0,-1,-1,-1,-1,-1,-1,3,0,2,25.45,1534.05,0
4372,4781-ZXYGU,0,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,1,1,3,20.15,20.15,0
5216,3034-ZBEQN,1,0,1,0,48,0,-1,1,0,1,1,0,0,0,2,0,2,34.7,1604.5,1
6811,8992-JQYUN,0,0,1,0,1,0,-1,1,0,0,1,0,1,1,1,1,1,50.35,50.35,1
4502,1264-BYWMS,0,0,0,0,55,1,1,3,0,0,0,0,1,1,1,1,1,96.8,5283.95,1
1665,1219-NNDDO,1,0,0,0,9,1,1,3,0,0,0,0,0,0,1,1,1,76.85,663.55,0
3793,6278-FEPBZ,1,0,0,0,9,1,0,0,-1,-1,-1,-1,-1,-1,1,0,2,20.25,186.15,0
5937,5383-MMTWC,1,1,1,0,8,1,1,3,0,0,0,0,0,1,1,1,1,84.0,613.4,1
154,3077-RSNTJ,1,0,1,1,6,1,0,0,-1,-1,-1,-1,-1,-1,1,0,2,19.7,113.5,0
861,9777-IQHWP,0,0,1,1,64,1,1,3,1,0,1,0,0,1,3,0,3,93.4,5822.3,0
3870,1099-BTKWT,1,0,1,0,68,0,-1,1,1,0,1,0,1,1,2,1,1,54.4,3723.65,0
3853,7128-GGCNO,0,0,0,0,46,1,1,3,0,0,0,0,0,0,1,0,3,72.8,3249.4,0
5696,0156-FVPTA,0,0,1,0,22,1,0,1,1,0,0,1,0,0,1,1,1,54.2,1152.7,1
3627,3243-ZHOHY,1,0,0,0,16,1,0,0,-1,-1,-1,-1,-1,-1,2,0,2,20.1,296.15,0
4735,0723-FDLAY,0,0,0,0,44,1,1,1,0,1,1,1,1,1,2,1,3,85.25,3704.15,0
352,4115-NZRKS,1,1,0,0,7,1,0,3,0,0,0,0,1,1,1,1,1,89.15,574.35,0
3892,3824-RHKVR,1,0,0,0,17,1,0,0,-1,-1,-1,-1,-1,-1,1,0,4,19.7,340.35,0
5181,5727-MYATE,0,0,1,1,72,1,1,1,1,1,1,1,1,1,3,1,4,90.8,6397.6,0
4818,8348-JLBUG,0,1,1,0,64,1,0,3,1,0,1,0,0,0,2,0,4,80.3,5017.7,0
1611,1971-DTCZB,1,0,1,0,72,1,1,1,1,1,1,1,1,1,3,1,3,90.95,6468.6,0
59,5954-BDFSG,1,0,0,0,72,1,1,3,0,0,1,1,1,1,3,1,4,107.5,7853.7,0
6463,0872-CASZJ,0,0,1,0,59,1,1,1,1,0,0,1,0,1,2,1,2,69.1,4096.9,0
3934,1729-VLAZJ,1,0,0,1,10,0,-1,1,1,1,0,1,0,0,2,0,2,40.25,411.45,0
4248,1020-JPQOW,1,0,1,0,56,1,1,3,0,1,1,1,0,0,1,0,1,90.55,5116.6,0
5500,7139-JZFVG,0,0,1,1,60,1,0,1,1,1,1,0,0,0,3,0,3,60.5,3694.45,0
4622,8705-DWKTI,0,0,0,0,52,1,0,3,0,0,1,0,0,1,1,1,4,83.8,4331.4,0
2072,5986-WWXDV,0,0,0,1,39,1,0,0,-1,-1,-1,-1,-1,-1,2,0,3,19.35,779.2,0
1867,0923-PNFUB,1,0,0,0,3,1,0,3,0,1,0,0,1,0,1,0,1,83.75,247.25,1
4027,5590-YRFJT,1,0,1,0,20,0,-1,1,0,0,0,0,0,0,1,1,1,24.45,482.8,1
825,2311-QYMUQ,1,0,1,1,16,1,0,3,0,1,1,0,1,0,1,1,4,89.45,1430.25,1
5519,2043-WVTQJ,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,2,55.7,55.7,0
6553,4891-NLUBA,1,0,1,1,61,0,-1,1,0,1,1,1,1,1,3,1,3,61.45,3751.15,0
4581,9084-OAYKL,0,0,0,0,58,1,0,0,-1,-1,-1,-1,-1,-1,3,0,2,20.8,1212.25,0
1425,7077-XJMET,0,0,1,0,12,1,0,1,0,0,1,1,1,1,1,1,1,74.15,741.4,0
84,0318-ZOPWS,1,0,1,0,49,1,0,0,-1,-1,-1,-1,-1,-1,3,1,3,20.15,973.35,0
